id	GSM45730_con	GSM45847_con	GSM45848_con	GSM45849_con	GSM45850_con	GSM45851_con	GSM45852_con	GSM45853_con	GSM45854_con	GSM45855_con	GSM799468_con	GSM799469_con	GSM799470_con	GSM799471_con	GSM799472_con	GSM799473_con	GSM799474_con	GSM799475_con	GSM799476_con	GSM799477_con	GSM799478_con	GSM799479_con	GSM799480_con	GSM799481_con	GSM799482_con	GSM799483_con	GSM799484_con	GSM799485_con	GSM799486_con	GSM799487_con	GSM799488_con	GSM799489_con	GSM119302_con	GSM119303_con	GSM119304_con	GSM119305_con	GSM119306_con	GSM119307_con	GSM119308_con	GSM119312_con	GSM119313_con	GSM119314_con	GSM134802_con	GSM134803_con	GSM134804_con	GSM134805_con	GSM134806_con	GSM134811_con	GSM134813_con	GSM134816_con	GSM134817_con	GSM134818_con	GSM134854_con	GSM134855_con	GSM134856_con	GSM134857_con	GSM134858_con	GSM134859_con	GSM134860_con	GSM134861_con	GSM45856_treat	GSM45857_treat	GSM45858_treat	GSM45859_treat	GSM45860_treat	GSM45861_treat	GSM45862_treat	GSM45863_treat	GSM45864_treat	GSM45865_treat	GSM735054_treat	GSM735055_treat	GSM735056_treat	GSM735057_treat	GSM735058_treat	GSM735059_treat	GSM735060_treat	GSM735061_treat	GSM735062_treat	GSM735063_treat	GSM735064_treat	GSM735065_treat	GSM735066_treat	GSM735067_treat	GSM735068_treat	GSM735069_treat	GSM735070_treat	GSM735071_treat	GSM735072_treat	GSM735073_treat	GSM735074_treat	GSM735075_treat	GSM735076_treat	GSM735077_treat	GSM735078_treat	GSM735079_treat	GSM735080_treat	GSM735081_treat	GSM735082_treat	GSM735083_treat	GSM799490_treat	GSM799491_treat	GSM799492_treat	GSM799493_treat	GSM799494_treat	GSM799495_treat	GSM799496_treat	GSM799497_treat	GSM799498_treat	GSM799499_treat	GSM799500_treat	GSM799501_treat	GSM799502_treat	GSM799503_treat	GSM799504_treat	GSM799505_treat	GSM799506_treat	GSM799507_treat	GSM799508_treat	GSM799509_treat	GSM799510_treat	GSM799511_treat	GSM799512_treat	GSM799513_treat	GSM799514_treat	GSM799515_treat	GSM799516_treat	GSM799517_treat	GSM799518_treat	GSM119315_treat	GSM119316_treat	GSM119317_treat	GSM119318_treat	GSM119319_treat	GSM119320_treat	GSM119321_treat	GSM134862_treat	GSM134863_treat	GSM134864_treat	GSM134867_treat	GSM134869_treat	GSM134870_treat	GSM134872_treat	GSM134878_treat
MYLK	6.160365	7.74775	7.1918781	6.8183124	7.9707577	6.5426082	7.5315603	8.0874975	6.286771	5.70194	6.116595	8.005937	7.796474	7.607333	8.220863	7.717935	7.820425	8.000535	7.46487	7.4565497	8.713608	7.301226	9.194558	8.74595	8.57631	4.648265	5.252148	8.702871	9.194558	8.352387	8.240326	8.567738	5.609338	7.120586	8.208937	6.870262	7.392339	6.902793	8.617106	9.252721	9.483573	6.302357	7.725101	7.7091956	7.488097	6.8616799	7.6327213	6.8072868	6.376037	7.4687215	8.0367705	5.8890611	8.5333745	8.2107162	6.81782269	7.53780719	6.6466681	7.51453	5.0515962	5.332636	1.6492758	5.3296885	6.802573	5.597261	7.46861	7.0800066	4.5715729	6.620373	6.0564198	8.121944	5.487581	6.078031	6.028367	6.898369	5.824792	7.249709	6.134868	6.009899	6.879728	7.194561	6.980094	5.867936	5.428022	5.901267	5.633563	5.063858	5.333087	7.769965	6.587593	7.98325	6.707563	8.091007	6.736217	6.43634	7.461789	6.694869	6.400894	6.026536	8.097951	5.800204	4.830755	5.608132	4.831855	5.748421	6.25123	4.2451	5.172712	4.863201	6.061244	5.541848	6.223463	5.480698	4.354364	7.006993	5.08507	4.55792	5.432974	4.739679	5.741091	7.255174	5.588662	5.798427	4.846889	7.3876306	6.272325	5.372749	6.211869	6.3189677	3.782084	4.804113	6.437344	5.494943	4.669496	4.85618	5.058972	4.943607	4.662759	5.169571	5.54557	5.460344	5.587985	5.4866254	5.4533325	4.937418
SPP1	6.864266	4.281506	5.2994483	4.1409729	5.6157956	10.1254703	4.4782588	4.857247	4.909216	6.859235	3.589733	2.796379	4.244388	5.22438	3.572702	4.345647	5.214478	5.165297	3.370493	3.6025554	4.376191	2.629587	3.519922	4.037455	4.294331	3.142107	3.468867	2.217822	3.32889	4.266747	5.298712	2.210933	6.729023	4.353405	4.382752	8.792133	7.395877	7.900259	4.696341	4.641439	7.578977	4.466905	4.144283	5.8228829	5.881317	3.938821	4.2106181	4.1442828	5.004142	3.9684495	4.5665813	8.0188166	4.925086	2.4450112	5.90065187	4.9901314	4.7277762	4.4705182	8.2603333	7.549333	5.4869821	7.3796786	6.666711	6.555439	6.725854	5.9798188	5.5952086	6.352205	5.8610366	8.298981	7.64933	6.042392	7.584489	2.558456	3.707124	9.216815	3.610968	3.65667	8.865443	5.597932	9.193786	4.154186	8.914886	7.739879	8.422999	3.971898	4.043732	7.039376	6.806627	7.069668	1.774537	7.897813	2.102989	5.032322	3.604037	8.364852	6.118545	8.675545	8.281538	6.360753	7.185844	7.81957	5.78605	7.266041	9.401739	8.527947	8.476234	7.601961	7.092569	7.727388	9.492451	7.836814	6.781368	7.439692	8.279825	6.116658	8.4285	9.428859	7.275496	8.378882	8.239484	9.037517	7.967453	9.2760128	9.20951	8.91192	8.076473	7.7413073	5.855386	4.286725	5.835373	4.572741	10.393724	7.14181	5.814358	6.36729	8.17104	9.091381	9.343829	8.978141	9.238185	8.126061	8.1232807	7.934218
ACTG2	7.021988	8.394367	6.1033582	6.3026106	7.9454244	6.0104583	7.345978	7.7894534	5.398129	4.956694	5.570314	8.350885	7.726778	8.030567	7.900759	7.8972	7.976664	8.09238	7.298375	7.0818307	8.712791	7.484101	9.518339	8.998194	8.85376	5.547231	5.380999	8.629946	9.225933	9.137448	8.492535	8.87628	3.963994	5.231964	7.712881	6.380874	8.667038	6.921073	8.479294	9.728365	8.389914	6.340516	4.761888	5.5397637	4.660469	5.3500963	6.0327174	4.86943395	5.787012	4.4532868	5.9501498	5.1578893	9.2985075	7.9243892	5.47444499	5.87921309	5.8469101	5.6836082	7.1009993	6.314273	0.7256912	5.814485	5.309407	5.530951	7.382727	4.7608449	0.7986263	7.256355	6.2258149	6.211888	5.999428	4.116964	3.503434	5.06351	4.924591	6.197035	4.599721	5.117576	5.54026	6.354433	4.954804	5.492237	4.361955	6.886075	4.037273	5.448458	5.600661	9.574535	4.270647	10.094908	7.56048	10.795888	3.795421	3.96766	7.727487	6.232105	7.53421	3.78849	8.270705	4.831665	3.322864	4.414317	4.340156	4.634793	4.470502	3.322147	3.972002	3.937713	4.364277	4.972254	3.7342	4.354818	4.435944	4.532654	3.97385	4.206977	3.819501	3.514714	5.316625	4.711051	4.514099	3.322147	5.180428	5.7990748	4.098185	4.71486	4.786522	5.4906888	3.696713	5.548208	5.196904	4.589285	2.925317	3.429789	4.708032	3.983593	6.473541	5.577087	7.297541	6.741304	6.396871	5.064074	5.9466216	5.466439
PCP4	6.673529	8.308406	5.3234859	6.2590439	7.5192509	6.3255031	6.5597549	5.8595611	3.169259	4.010828	5.892762	8.464476	7.960872	8.671815	8.298392	7.660281	7.450962	7.56057	6.273374	5.8836981	8.662166	7.477848	9.107201	8.643691	8.158109	4.387427	3.443686	7.761134	8.382122	8.566988	8.053244	7.674959	4.792616	4.748285	6.481198	7.689234	6.834823	7.512226	8.671263	9.006223	7.720404	5.646962	5.39144	6.3586021	2.683343	7.0926942	6.2109636	6.75138689	6.356914	8.5152911	6.1608904	6.2211023	8.9568878	0.7727478	6.44921774	6.28360534	6.4384361	5.4424295	4.7227929	5.229598	1.8676193	4.5716841	6.230181	4.569171	8.220861	3.8757076	1.9233885	8.048234	5.3651206	7.406002	5.154739	6.143004	5.417782	5.089656	5.104444	5.031617	6.198571	9.066746	5.903037	5.396038	5.679619	5.681784	9.806409	6.955958	6.773529	4.387737	6.004449	3.735997	5.237368	4.917864	5.789059	4.900704	4.736842	5.258583	4.082402	4.998531	5.213434	6.054815	5.005112	4.820643	5.735951	3.798687	4.887587	3.420147	3.415516	3.537183	4.398111	3.423851	3.605866	4.035718	3.413814	4.15133	3.92098	4.542462	4.366978	4.217272	3.886939	4.17107	4.292513	7.814681	3.415883	5.046407	4.464797	3.9743254	4.633708	3.872074	3.413814	4.0475854	3.47193	3.560187	4.73717	7.086456	3.212683	3.158781	2.971932	3.349955	5.031534	5.078168	5.549711	5.7083	5.714035	4.4756377	4.8960972	5.38407
MSMB	8.389659	8.51049	9.0496748	7.6802803	8.7318084	7.8839817	9.0344382	9.6066339	6.002784	7.109759	8.119015	10.827655	10.147647	9.848452	9.295207	10.038376	6.333983	6.243793	7.165704	7.3829838	9.828388	10.827655	10.655505	10.090052	9.984089	7.24966	7.903404	9.351271	9.984089	8.868133	10.090052	9.437693	4.997801	4.897261	11.411812	9.583292	8.749196	9.348138	10.194898	10.028501	6.026746	6.478559	6.623601	8.8426198	8.181336	6.4185709	9.971332	9.25241519	4.927047	9.3924472	7.6730083	6.4761117	8.0743553	9.3924472	8.99364492	8.56348825	9.3924472	9.971332	5.8202332	6.346271	2.956577	5.6632866	6.777105	4.88005	7.367766	7.7765474	0.4334743	8.930147	8.5087146	7.615672	4.67293	12.835204	5.178623	7.952127	4.737172	12.619736	9.123394	4.708009	4.693784	7.672482	10.072013	10.318838	10.024422	6.810095	5.175159	5.230403	7.141443	4.373628	7.05692	8.185728	4.815772	4.580724	7.183501	7.690504	6.383179	4.874678	5.892709	8.322286	9.078459	7.238946	8.895755	7.988075	5.498264	5.529751	3.961999	4.58049	8.648896	5.824168	6.898579	3.293919	9.224798	6.385562	3.540803	6.817287	3.070754	6.674959	3.527975	3.418052	5.731057	4.468733	7.596618	6.97031	6.195749	3.1599898	7.382984	3.85849	8.868133	4.2752782	5.191368	8.706679	8.735654	5.364152	4.797639	4.694658	4.769337	4.694658	6.202068	5.802962	5.396389	5.596868	5.899363	5.3482295	5.3120515	5.593624
KLK3	10.52492	10.409796	10.878544	11.2336522	10.1012268	10.7751133	10.623762	10.9923862	10.695897	10.233239	10.113269	11.034611	10.809086	11.711487	10.630458	11.034611	12.116108	12.116108	10.375168	10.7365799	9.048771	11.385331	11.270874	11.109415	10.962018	10.519582	10.852444	9.702869	9.978258	9.978258	10.852444	10.809086	8.992966	11.626405	11.251483	10.17303	10.814684	9.982166	11.026784	9.907813	6.501689	11.467204	11.552988	10.5926839	11.872646	9.7657063	12.3329344	10.36718778	8.407522	11.5529877	10.5547644	10.1980229	12.3329344	11.8726462	10.71820943	10.64352734	11.0767345	12.3329344	7.9019283	7.396144	7.8192526	6.9350332	8.334974	8.511221	5.792171	9.8568278	11.3908282	11.191475	8.8308442	7.970602	10.507179	12.744011	9.875509	9.308214	6.319627	9.32405	10.931084	10.593344	8.417936	12.956028	10.08346	10.560019	10.121101	9.4905	10.295424	10.993087	10.530118	5.538931	11.212709	10.769578	11.283289	5.542747	10.891317	9.925415	8.993278	8.313738	8.609987	9.711568	5.679858	9.336594	9.856292	8.696741	10.113269	9.779461	4.481356	8.890846	8.674718	8.497383	8.717252	9.544883	9.078069	7.408116	7.764832	10.019527	7.147284	10.630458	9.252949	9.665353	10.569893	9.544883	9.138424	9.779461	7.266352	4.0884451	10.479683	9.332747	9.665353	9.1069055	10.216121	11.382109	11.382109	8.851918	5.540593	7.250932	9.796545	9.933438	8.16571	7.950302	8.356854	8.061452	7.900793	7.3266714	7.2208501	6.967505
HBB	6.802344	7.919962	6.7863161	7.0871495	7.9326173	8.5642855	7.3709656	8.0002882	8.080618	8.920245	6.101399	4.803476	5.129932	5.955687	5.243886	5.619932	5.390388	5.098555	5.384949	5.654616	6.82514	5.147949	5.918424	5.399732	5.051856	6.288155	6.229796	5.520072	6.018573	6.248958	6.225859	5.396453	6.91204	10.104004	7.254741	5.745148	11.295472	5.922344	5.815636	9.721292	5.379101	9.237219	7.091539	6.1016273	6.871996	8.0688659	6.9421129	6.20739847	6.773687	6.1258751	7.6341435	8.1623752	6.0302515	5.5902615	6.84852933	8.22664193	5.7228373	5.0906232	9.8007896	9.551856	9.1299005	7.9805418	6.553768	7.405386	6.238978	7.4208605	8.1893587	7.204819	8.6895015	6.815482	8.633958	6.77568	9.112845	7.44591	7.269659	6.858587	6.657509	6.71461	4.593292	9.233419	7.818594	6.751745	9.414296	10.790716	7.44591	8.568082	8.700026	10.957169	8.605761	4.70162	6.819184	6.949112	3.216309	7.793931	8.230671	7.119134	8.986075	7.793931	10.957169	5.814278	10.594916	9.727365	10.410163	6.632698	9.747731	8.893154	8.613281	7.851755	9.747731	8.359442	8.687093	10.017916	7.695264	8.659356	9.098701	9.075255	8.153932	10.174	6.692548	10.594916	8.187314	10.594916	10.594916	10.4726155	8.12832	10.594916	10.594916	10.3343001	8.57829	7.222053	6.870801	9.637305	5.35148	6.511738	10.063268	8.500281	9.113029	9.460455	9.575245	9.257094	9.121237	9.0947327	9.5057975	9.308251
AZGP1	8.323258	7.874039	5.8296238	7.7223214	8.3119557	7.1304329	6.3181983	8.2206916	2.289225	8.003667	7.768006	8.879144	4.933394	7.103367	6.348062	7.693193	9.005075	8.900455	8.04782	8.0579239	8.406214	9.101107	9.005075	7.775802	7.98443	5.997793	6.215448	7.425273	7.420407	7.664504	8.206393	7.60944	4.393558	7.922372	8.120979	5.717252	5.044951	5.768392	6.495242	6.883026	6.286008	8.471438	6.710237	6.2648215	8.521325	7.1862416	6.6543989	6.97592268	5.383354	7.6515141	6.6456338	6.9087646	5.9168329	9.2205486	6.72228431	6.74866576	7.2837992	7.9514854	4.976256	4.390345	5.5581545	6.5244308	4.102145	6.634031	4.46796	6.4782653	7.6138935	6.313	4.1734083	1.298644	3.582998	8.506083	4.086132	3.823344	5.826084	5.794728	9.85474	8.596119	7.643069	8.142975	4.018724	6.418334	8.669226	8.5525	8.674933	8.102826	7.935335	4.504062	4.118886	4.435397	8.754861	3.318994	7.874437	6.315814	3.77066	3.33743	3.464118	8.418992	4.19023	4.850534	2.525226	2.665361	2.788671	7.474015	2.526122	3.773345	6.984231	8.745849	7.870424	5.0331	6.533278	5.740382	2.524877	7.782832	2.524555	3.046527	5.209967	2.658929	8.296346	6.479665	6.679709	8.206393	4.544785	3.3663967	5.996841	7.384846	5.955301	2.7703629	2.948298	4.774788	5.052056	4.707154	4.947193	5.679338	7.397353	8.665436	5.474428	5.443344	6.429704	5.916833	5.79199	3.3967386	4.2561462	4.623889
