id	con	treat
GSM799485_con	1.00347106450712	-0.00457908543696036
GSM799486_con	1.00347106450712	-0.00457908543696036
GSM799487_con	1.00347106450712	-0.00457908543696036
GSM799488_con	1.00325253034289	-0.00436576729839282
GSM799489_con	1.00325253034289	-0.00436576729839282
GSM119302_con	0.332235420424869	0.668025156650992
GSM119303_con	1.0258355729752	-0.0259940918456968
GSM119304_con	1.00325253034289	-0.00436576729839282
GSM119305_con	0.502488250014074	0.497261825878461
GSM119306_con	0.99335744579408	0.00554435448018573
GSM119307_con	0.331091681474045	0.668954054916673
GSM119308_con	1.00325253034289	-0.00436576729839282
GSM119312_con	0.998673851828474	0.00105096063617183
GSM119313_con	0.989470186531113	0.0094398867409367
GSM119314_con	0.500403259589265	0.501698492252723
GSM134802_con	0.499178239820863	0.501437104470927
GSM134803_con	0.967377045956995	0.0315314727953143
GSM134804_con	0.98456830082535	0.0162852324308915
GSM134805_con	1.00463353160094	-0.00490729576438798
GSM134806_con	1.00325253034289	-0.00436576729839282
GSM134811_con	0.999800915497138	-0.00014648155523489
GSM134813_con	0.979609482885845	0.0195489194836112
GSM134816_con	0.999800915497138	-0.00014648155523489
GSM134817_con	1.00325253034289	-0.00436576729839282
GSM134818_con	1.03076178982309	-0.0257812512104041
GSM134854_con	1.00326443651494	-0.00437814222684657
GSM134855_con	1.00208183664761	0.00181999818131695
GSM134856_con	0.999800915497138	-0.00014648155523489
GSM134857_con	0.799856414267919	0.199821869650413
GSM134858_con	1.00325253034289	-0.00436576729839282
GSM134859_con	1.00325253034289	-0.00436576729839282
GSM134860_con	0.332087815738167	0.66728591863138
GSM134861_con	0.332087815738167	0.66728591863138
GSM45856_treat	0.02029101725905	0.979208086929373
GSM45857_treat	-0.0123604636772945	1.01303372619802
GSM45858_treat	0.0258942255018881	0.974677892704441
GSM45859_treat	0.0045368342424161	0.999383870003275
GSM45860_treat	0.331091681474045	0.668954054916673
GSM45861_treat	0.00997340153222128	0.990633071135505
GSM45862_treat	0.020255451873134	0.97924525983684
GSM45863_treat	0.502488250014074	0.497261825878461
GSM45864_treat	0.00784300123868631	0.993382520809542
GSM45865_treat	0.331091681474045	0.668954054916673
GSM735054_treat	0.0349698944262116	0.964572001826057
GSM735055_treat	0.0204631701161256	0.979033246108925
GSM735056_treat	0.0203894422054084	0.979106285363851
GSM735057_treat	0.00997340153222128	0.990633071135505
GSM735058_treat	0.00182832099873864	1.00251540912046
GSM735059_treat	-0.00761403110535253	1.00839076160941
GSM735060_treat	0.0204631701161256	0.979033246108925
GSM735061_treat	0.0203682277601797	0.979128227819572
GSM735062_treat	-0.00920052804822894	1.00981845027751
GSM735063_treat	0.799856414267919	0.199821869650413
GSM735064_treat	-0.0215666134898727	1.02115070604993
GSM735065_treat	0.0470737320756798	0.95240549299675
GSM735066_treat	0.0223477564803914	0.977158601813808
GSM735067_treat	0.0203867554857252	0.97910907910247
GSM735068_treat	0.0303698622143107	0.969173450494444
GSM735069_treat	0.020255451873134	0.97924525983684
GSM735070_treat	0.500403259589265	0.501698492252723
GSM735071_treat	0.0136521555974113	0.986938774178012
GSM735072_treat	-0.0132396982485533	1.01975177500946
GSM735073_treat	-0.00350465974530035	1.00414041191374
GSM735074_treat	0.751002339155498	0.248040856319633
GSM735075_treat	-0.00749427707019661	1.0082669112257
GSM735076_treat	0.499178239820863	0.501437104470927
GSM735077_treat	0.0189746963341638	0.98052350345321
GSM735078_treat	0.0211167359801748	0.978380720799101
GSM735079_treat	-0.00749427707019661	1.0082669112257
GSM735080_treat	0.332087815738167	0.66728591863138
GSM735081_treat	0.0203894502823698	0.979106277474488
GSM735082_treat	-0.002978768385895	1.00360083097991
GSM735083_treat	-0.00637852540529918	1.00722909579582
GSM799490_treat	0.0203934581791199	0.979102266900266
GSM799491_treat	0.0294026442946326	0.970093595219414
GSM799492_treat	0.020380846746165	0.979115175899181
GSM799493_treat	0.0045368342424161	0.999383870003275
GSM799494_treat	0.0203482557622013	0.979147673605682
GSM799495_treat	0.0203482557622013	0.979147673605682
GSM799496_treat	-0.00125358731254821	1.00078894358857
GSM799497_treat	0.0201698487280494	0.979328437553625
GSM799498_treat	0.0201698487280494	0.979328437553625
GSM799499_treat	0.0203482557622013	0.979147673605682
GSM799500_treat	-0.00125358731254821	1.00078894358857
GSM799501_treat	0.0203482557622013	0.979147673605682
GSM799502_treat	0.0203482557622013	0.979147673605682
GSM799503_treat	-0.00994991759516906	1.01141016461608
GSM799504_treat	0.0203482557622013	0.979147673605682
GSM799505_treat	0.0319769885027799	0.967581788041075
GSM799506_treat	0.0203482557622013	0.979147673605682
GSM799507_treat	0.0203482557622013	0.979147673605682
GSM799508_treat	-0.00131160489149629	1.00203214535764
GSM799509_treat	0.0217745811992373	0.977726638585184
GSM799510_treat	-0.00125358731254821	1.00078894358857
GSM799511_treat	0.0201698487280494	0.979328437553625
GSM799512_treat	0.0203482557622013	0.979147673605682
GSM799513_treat	0.0136521555974113	0.986938774178012
GSM799514_treat	0.0179373430203387	0.98156286133698
GSM799515_treat	0.0201698487280494	0.979328437553625
